Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
ADM0100,NURSING CARE,Consultation General,,,,,,,,,,,,,,
CLI0068,Chemotherapy,Cancer Care,,,,,,,,,,,,,,
DIAG004,AUDIOMETRY SCREENING,Selective Health Screening,,,,,,,,,,,,,,
DIAG013,Echocardiography,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG014,Echocardiography (Paediatrics),Advanced And Complex Investigations,,,,,,,,,,,,,,
con567,PSYCHOTHERAPY,Psychology/Psychiatry,,,,,,,,,,,,,,
CONS006,Cardiothoracic Surgeon Consultation,Consultation Specialist,,,,,,,,,,,,,,
CONS007,Dental Consultation,Consultation Specialist,,,,,,,,,,,,,,
CONS011,Dietician Consultation,Consultation Specialist,,,,,,,,,,,,,,
CONS019,General Surgeon Consultation,Consultation Specialist,,,,,,,,,,,,,,
DIAG106,CT Scan Larynx,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG107,CT Scan Urography,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG127,Pelvimetry,X-Rays and Contrast Studies,,,,,,,,,,,,,,
Den213,Periapical X-ray,Dentistry,,,,,,,,,,,,,,
DENT007,Root canal therapy,Dentistry,,,,,,,,,,,,,,
DENT1000,COMPOSITE FILLING,Dentistry,,,,,,,,,,,,,,
DENT117,Temporary Filling,Dentistry,,,,,,,,,,,,,,
DENT134,Histology,Surgeries,,,,,,,,,,,,,,
DRG1009,ABITREN 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1041,ADRENALIN INJ 1MG/AMP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1074,ALPHAGAN Eye  Drop,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1078,AMARYL (GLIMEPIRIDE) 2MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1079,AMARYL (GLIMEPIRIDE) 4MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1088,AMIAS (CANDESARTAN) 16MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1089,AMIAS (CANDESARTAN) 2MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1090,AMIAS (CANDESARTAN) 4MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1091,AMIAS (CANDESARTAN) 8MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1093,AMILORIDE TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1096,AMIODARONE 100MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1097,AMIODARONE 200MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1140,AMOXYCILLIN 500MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1141,AMOXYCILLIN INJ. 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1142,AMOXYL 250MG CAP (BEECHAM),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1143,AMOXYL 500MG CAP (BEECHAM),Non-Chronic Medications,,,,,,,,,,,,,,
DRG1173,APOBACYN POWDER,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1188,ARICEPT (DONEZEPIL),Chronic Medication,,,,,,,,,,,,,,
DRG1198,ARTESUNATE 120MG INJ.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1199,ARTESUNATE 50MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1200,ARTESUNATE 60MG INJ.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1206,ARTHOCARE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1208,ARTHOCARE FORTE CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1212,ARVED 450MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1227,ASTIZOL 10MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1228,ASTYFER CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1229,ASTYFER SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1230,ASTYMIN CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1244,ATIVAN ((LORAZEPAM) 2MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1245,ATORVASTATIN 40MG (TEVA),Chronic Medication,,,,,,,,,,,,,,
DRG1248,ATROPINE EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1267,AVOLAM 150MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1291,BECLOX 500MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1301,BENDROFLUAZIDE 2.5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1302,BENDROFLUAZIDE 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1313,BENYLIN EXPECTORANT 100MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1314,BENYLIN FOR CHILDREN 100MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1321,BENYLIN WITH CODEINE COUGH SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1324,BENZYL PEROXIDE 10% LOTION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1351,BIOBETIC,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1361,BISACODYL 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1368,BIVACYN SPRAY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1370,BONABABE SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1378,BOSKA,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1412,CALAMINE LOTION 100MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1417,CALCIMAX TAB,Non-Chronic Medications,,,,,,,,,,,,,,
