procedure_code,procedure_description,benefit_group
adm0100,NURSING CARE,consultation general
cli0068,Chemotherapy,cancer care
diag004,AUDIOMETRY SCREENING,selective health screening
diag013,Echocardiography,advanced and complex investigations
diag014,Echocardiography (Paediatrics),advanced and complex investigations
con567,PSYCHOTHERAPY,psychology/psychiatry
cons006,Cardiothoracic Surgeon Consultation,consultation specialist
cons007,Dental Consultation,consultation specialist
cons011,Dietician Consultation,consultation specialist
cons019,General Surgeon Consultation,consultation specialist
diag106,CT Scan Larynx,advanced and complex investigations
diag107,CT Scan Urography,advanced and complex investigations
diag127,Pelvimetry,x-rays and contrast studies
den213,Periapical X-ray,dentistry
dent007,Root canal therapy,dentistry
dent1000,COMPOSITE FILLING,dentistry
dent117,Temporary Filling,dentistry
dent134,Histology,surgeries
drg1009,ABITREN 100MG TAB,non-chronic medications
drg1041,ADRENALIN INJ 1MG/AMP,non-chronic medications
drg1074,ALPHAGAN Eye  Drop,non-chronic medications
drg1078,AMARYL (GLIMEPIRIDE) 2MG TAB,non-chronic medications
drg1079,AMARYL (GLIMEPIRIDE) 4MG TAB,non-chronic medications
drg1088,AMIAS (CANDESARTAN) 16MG TAB,chronic medication
drg1089,AMIAS (CANDESARTAN) 2MG TAB,chronic medication
drg1090,AMIAS (CANDESARTAN) 4MG TAB,chronic medication
drg1091,AMIAS (CANDESARTAN) 8MG TAB,chronic medication
drg1093,AMILORIDE TAB,chronic medication
drg1096,AMIODARONE 100MG TAB,chronic medication
drg1097,AMIODARONE 200MG TAB,chronic medication
drg1140,AMOXYCILLIN 500MG CAP,non-chronic medications
drg1141,AMOXYCILLIN INJ. 500MG,non-chronic medications
drg1142,AMOXYL 250MG CAP (BEECHAM),non-chronic medications
drg1143,AMOXYL 500MG CAP (BEECHAM),non-chronic medications
drg1173,APOBACYN POWDER,non-chronic medications
drg1188,ARICEPT (DONEZEPIL),chronic medication
drg1198,ARTESUNATE 120MG INJ.,non-chronic medications
drg1199,ARTESUNATE 50MG TAB,non-chronic medications
drg1200,ARTESUNATE 60MG INJ.,non-chronic medications
drg1206,ARTHOCARE CAP,non-chronic medications
drg1208,ARTHOCARE FORTE CAP,non-chronic medications
drg1212,ARVED 450MG TAB,chronic medication
drg1227,ASTIZOL 10MG TAB,non-chronic medications
drg1228,ASTYFER CAP,non-chronic medications
drg1229,ASTYFER SYRUP,non-chronic medications
drg1230,ASTYMIN CAP,non-chronic medications
drg1244,ATIVAN ((LORAZEPAM) 2MG TAB,non-chronic medications
drg1245,ATORVASTATIN 40MG (TEVA),chronic medication
drg1248,ATROPINE EYE DROP,non-chronic medications
drg1267,AVOLAM 150MG TAB,chronic medication
drg1291,BECLOX 500MG CAP,non-chronic medications
drg1301,BENDROFLUAZIDE 2.5MG TAB,chronic medication
drg1302,BENDROFLUAZIDE 5MG TAB,chronic medication
drg1313,BENYLIN EXPECTORANT 100MLS,non-chronic medications
drg1314,BENYLIN FOR CHILDREN 100MLS,non-chronic medications
drg1321,BENYLIN WITH CODEINE COUGH SYRUP,non-chronic medications
drg1324,BENZYL PEROXIDE 10% LOTION,non-chronic medications
drg1351,BIOBETIC,non-chronic medications
drg1361,BISACODYL 5MG TAB,non-chronic medications
drg1368,BIVACYN SPRAY,non-chronic medications
drg1370,BONABABE SYRUP,non-chronic medications
drg1378,BOSKA,non-chronic medications
drg1412,CALAMINE LOTION 100MLS,non-chronic medications
drg1417,CALCIMAX TAB,non-chronic medications
drg1421,CALCIUM GLUCONATE INJ,non-chronic medications
drg1422,CALCIUM LACTATE 300MG TAB,non-chronic medications
drg1449,CAPTOPRIL 12.5MG,chronic medication
drg1453,CARBAMAZEPINE (TEGRETOL) 200MG TAB,non-chronic medications
drg1457,CARDIOACE CAP,non-chronic medications
drg1460,CARVEDILOL 12.5MG TAB,chronic medication
drg1461,CARVEDILOL 25MG TAB,chronic medication
drg1473,CEFIXIME (CEFINE) 200MG TAB,non-chronic medications
drg1474,CEFIXIME (CEFINE) SUSP,non-chronic medications
drg1484,CELEBREX CAP 200MG,non-chronic medications
drg1519,CHLORAMPHENICOL EYE OINTMENTS,non-chronic medications
drg1524,CHLOROQUINE INJ 200MG/5ML,non-chronic medications
drg1531,CHLORPROPAMIDE 250MG TAB,chronic medication
drg1534,CHYMORAL TAB,non-chronic medications
drg1536,CICATRIN POWDER,non-chronic medications
drg1538,CIKLAVIT 200MLS,non-chronic medications
drg1559,CLARITHROMYCIN 500MG CAP,non-chronic medications
drg1575,CLOXACILLIN 250MG CAP,non-chronic medications
drg1576,CLOBETASOL CREAM 45G,non-chronic medications
drg1588,CO-ARINATE ADULT TAB (ACT-ANTIMALARIAL),non-chronic medications
drg1589,CO-ARINATE JUNIOR (ACT-ANTIMALARIAL),non-chronic medications
drg1595,COD LIVER OIL CAP 525MG (7SEAS),non-chronic medications
drg1596,COD LIVER OIL SYRUP,non-chronic medications
drg1598,CO-DIOVAN 160/12.5MG,chronic medication
drg1602,CO-DIOVAN 80/25MG TAB,chronic medication
drg1608,COLIPAN 10MG TAB,non-chronic medications
drg1610,COLLOMACK SOLUTION 10ML,non-chronic medications
drg1627,CO-TENIDONE 100/25MG,chronic medication
drg1628,CO-TENIDONE 50/12.5MG,chronic medication
drg1648,CRYSTALLINE PENICILLIN 1MU,non-chronic medications
drg1649,CUSICROM EYE DROP,non-chronic medications
drg1651,CYCLOGEST 400MG PESSARY,non-chronic medications
drg1657,CYPRIGOLD (CYPROHEPTADINE),non-chronic medications
drg1687,DEEP HEAT SPRAY,non-chronic medications
drg1690,DEPO  PROVERA 150MG INJ,non-chronic medications
drg1693,DEQUADIN LOZENGES,non-chronic medications
drg1696,DERMOVATE CREAM 25G,non-chronic medications
drg1699,DETRUSITOL XL 4MG CAP,non-chronic medications
