procedure_code,price
DRG1000,2500
DRG1003,2500
DRG1703,2500
DRG1004,2500
DRG1005,2500
PCD285,600000
PCD284,600000
DIAG1845,15000
DIAG1655,2500
DRG4019,500
DRG1475,600
DRG3169,600
DRG1023,4000
DRG1025,400
DRG3281,250
DRG3282,500
DIAG187,4000
DIAG188,4000
DIAG190,4000
DIAG191,4000
DIAG193,4000
DRG1067,300
DRG1068,300
DRG1092,4000
DRG1093,200
DRG4057,250
DRG1095,1500
DRG1100,250
DRG1101,250
DRG1106,200
DRG1220,200
DRG1110,200
DRG4078,2500
DRG1256,6000
DRG2813,150
DRG1144,2000
DRG1249,5000
DRG1124,6000
DRG1250,500
DRG1126,6000
DRG1943,6000
DRG1127,400
DRG1133,6000
DRG1128,4500
DRG1129,600
DRG1147,80
DRG1146,100
DRG1151,2500
DRG1148,400
DRG1150,1500
DRG1161,3000
DRG1163,3000
MED0591,150
PCD280,80000
DRG1776,2500
DRG4661,2000
DRG1198,3500
DRG1199,300
DRG1200,2500
DRG1201,2500
DRG1196,40
DRG1084,400
DRG1081,600
DRG1202,3000
DRG1562,3000
DRG2216,1500
DRG1203,1000
DRG1206,400
DRG1222,80
DRG1224,150
DRG2482,3000
DRG1228,300
DRG1229,5000
DRG1230,300
DRG1232,5000
DRG2707,80
DRG1243,120
DRG1246,200
DRG1597,300
DRG1245,350
DRG1248,3500
DRG3302,6000
DRG1278,600
DRG1289,3500
DRG1301,250
DRG1302,250
DRG3243,2000
DRG2391,2000
DRG1324,2000
DRG1325,2000
DRG4106,2000
DRG4257,2000
DRG4107,2000
DRG1335,2000
DRG1065,2000
PCD126,"350,000"
DIAG209,5000
DIAG210,5000
DIAG211,5000
DRG1362,200
DRG1770,250
DRG1361,250
DRG1364,250
DRG1365,250
DRG1366,250
DIAG1667,2500
PCD788,70000
PCD789,70000
DRG1390,150
DRG1391,150
DRG1389,300
DRG4123,300
DRG1407,2500
PCD307,400000
DRG1413,2500
DIAG221,3000
DIAG183,3000
DIAG138,3000
DRG1421,3000
DRG4133,70
DRG1422,70
DRG2903,450
DRG1441,400
DRG1454,250
DRG1453,300
CONS003,25000
CONS004,15000
CONS005,30000
CONS006,20000
DRG1460,150
DRG1462,200
DRG1463,250
DRG1474,4500
MED0336,4000
DRG2552,400
DRG2553,500
DRG4143,7000
DRG4144,500
DRG4145,7000
DRG4146,7000
DRG4147,7000
DRG4148,6000
DRG4149,7000
DRG1477,7000
DRG1482,7000
DRG4150,6000
DRG1991,7000
DRG1480,400
DRG1478,500
DRG4151,5000
DRG1485,500
DRG2959,7000
DRG2960,6000
DRG1498,500
PCD304,"150,000"
PCD258,25000
PCD309,"450,000"
DRG1511,80
DRG4156,2500
DRG4157,15000
DRG1706,3000
DRG1515,200
DRG1519,3000
DRG4158,2500
DRG1520,2000
DRG4159,3000
DRG1523,250
DRG1524,1500
DRG1525,1500
DRG1527,80
DRG1528,1500
DRG1832,1500
DRG1529,200
DRG1530,1500
DIAG228,3500
DRG1534,250
DRG1540,250
DRG1541,800
DRG1542,150
DRG2976,150
DRG1547,3500
DRG1546,3000
PCD240,"10,000"
DRG2700,150
DRG2425,3000
DRG1443,3000
DRG1444,3000
DRG4196,3000
DRG2429,500
DRG1631,100
DRG2914,150
DRG1630,2500
DRG4208,2500
DIAG236,3000
DRG1664,300
CONS009,20000
CONS010,15000
DRG4231,80
DRG4233,800
DRG4234,100
DRG1700,1500
DRG1701,800
DRG3132,2500
DRG1717,1200
DRG1718,150
DRG4247,1000
DRG3205,1000
DRG1337,120
DRG3200,500
DRG1211,1000
DRG3291,3000
DRG1719,300
DRG1720,1500
DRG1725,3000
CONS011,20000
CONS012,15000
DRG1749,250
DRG2412,300
DRG1759,250
DRG4267,300
PCD792,2500
DIAG710,10000
DIAG009,15000
DIAG011,15000
DIAG243,5000
DIAG245,5000
DIAG246,5000
DIAG711,10000
CONS013,25000
CONS014,15000
CONS015,25000
CONS016,20000
PCD273,15000
DRG1411,150
PCD303,100000
DRG1880,3500
DRG4282,300
DRG4283,3000
DIAG421,4500
DIAG307,10000
PCD803,70000
PCD802,70000
PCD137,100000
PCD4129,150000
PCD70,"500,000"
DIAG247,2000
DIAG422,6000
DRG4311,80
DRG1930,80
DRG1936,400
PCD135,80000
DRG1962,500
DRG1958,400
DRG1730,500
DRG4326,3000
MED0308,3500
DRG1967,80
DRG1969,2500
PCD172,20000
DIAG564,20000
DRG1977,1200
DIAG566,8000
DIAG569,30000
DIAG570,30000
DIAG571,30000
DRG1987,80
DRG1988,150
DRG4346,500
DRG1010,400
CONS017,20000
CONS018,15000
ADM03,5000
FEED03,6000
CONS019,25000
CONS020,20000
DIAG773,2000
DRG2009,1500
DRG2011,3000
DRG2012,3000
DRG2013,800
DRG1673,80
DRG1714,150
DRG1713,80
DRG1078,200
DRG2024,250
DRG2835,200
CONS021,5000
CONS022,3000
DRG2061,150
DRG4357,5000
CONS023,25000
CONS024,20000
CONS025,25000
CONS026,20000
DRG2081,2000
DIAG1678,10000
DIAG722,10000
DIAG1680,3000
DIAG723,10000
DIAG1682,3500
DRG4395,2500
DRG1175,150
PCD236,500000
PCD235,500000
PCD32,600000
DRG2116,80
DRG4399,80
DRG2119,1200
DRG1708,3000
PCD263,100000
DRG1793,150
MED0087,1200
DRG1406,1200
DRG1405,80
DRG4414,1500
DRG2131,80
DRG2132,80
DRG4415,60
PCD301,20000
PCD302,15000
DRG2138,300
Pro0010,20000
PCD272,150000
PCD299,15000
DRG4450,150
DRG2146,100
DRG2151,500
DRG4458,500
DRG2168,5000
DRG2382,2500
DRG2189,150
DRG2191,3500
DRG2203,400
DRG2202,350
DRG4490,4500
PCD296,500000
DRG2194,80
DRG2228,600
DRG2227,3500
DRG2229,500
DRG2230,500
DRG2231,500
