procedurecode,description,price
CONS021,GP CONSULTATION,3000
DIAG435,MALARIAL PARASITE THICK AND THIN FILMS - [BLOOD],1500
DRG2641,PARACETAMOL 500MG,20
DIAG422,FBC/CBC (FULL BLOOD COUNT) BLOOD,3000
DRG2278,LORATIDINE 10MG TAB,30
DRG2813,AMOXICILLIN 500MG,60
DRG0358,CIPROFLOXACIN 500MG,150
DRG1106,AMLODIPINE 10MG,80
DRG1721,DICLOFENAC SODIUM 75MG INJ,500
DRG2642,PARACETAMOL INJ 150MG/ML,150
DRG2370,METRONIDAZOLE 400MG TAB,40
CONS022,GP REVIEW \FOLLOW UP,1500
DRG2132,IBUPROFEN 400MG,40
DIAG380,URINALYSIS,2000
DRG1477,CEFTRIAZONE INJ 1G,1500
DRG2166,AMOXICILLIN 125MG/5ML SUSPENSION,1200
DIAG247,FASTING BLOOD SUGAR -[PLASMA],2000
ADM03,GENERAL ROOM,4000
DRG1202,ARTHEMETER LUMEFRANTINE SYRUP,1500
DRG1200,ARTESUNATE 60MG INJ.,1250
DRG1838,PARACETAMOL 1G,40
DRG2250,LISINOPRIL 10MG TAB,80
DRG2668,PREDNISOLONE 5MG TAB,20
DIAG450,"WBC (LEUCOCYTE) : TOTAL AND ABSOLUTE DIFFERENTIAL COUNTS, - [BLOOD]",2000
DIAG763,URINE M/C/S,4000
DRG1527,CHLORPHENIRAMINE 4MG TAB,10
DRG2009,GENTAMYCIN 80MG INJ,200
FEED03,GENERAL ROOM FEEDING,5000
DRG1337,DICLOFENAC 50MG,40
DRG2368,METRONIDAZOLE 200MG TAB,30
DIAG1688,PREGNANCY TEST - [SERUM],1500
DRG1142,AMOXICILLIN 250MG CAP,70
ADM02,SEMI PRIVATE ROOM,6033.81
DIAG753,STOOL M/C/S,4500
DIAG1678,HELICOBACTER PYLORI (RAPID TEST) - [SERUM],6000
DRG1524,CHLOROQUINE INJ 200MG/5ML,800
DRG2131,IBUPROFEN 200MG TAB,50
DIAG441,PCV -PACKED CELL VOLUME (HAEMATOCRIT) - [BLOOD],2000
DIAG215,RANDOM BLOOD SUGAR,1500
DRG1718,DIAZEPAM 5MG TAB,70
DIAG307,EUCR,5000
DIAG275,"LIPID PROFILE = TOTAL CHOLESTEROL, HDL,LDL,VLDL, TRIGLYCERIDES",7000
DRG2517,ORPHENADRINE 100MG,80
FEED02,SEMI PRIVATE ROOM FEEDING PER DAY,6000
DIAG723,HIGH VAGINAL SWAB (HVS) M/C/S,4500
DRG2498,NIFEDIPINE 20MG TAB,70
DRG1880,ERYTHROMYCIN 125MG/5ML SUSP,1500
ADM01,PRIVATE ROOM,8000
DRG1967,FOLIC ACID 5MG,15
DRG1443,CLOTRIMAZOLE CREAM 100MG,1000
DRG1110,AMLODIPINE 5MG,60
CONS023,GYNAECOLOGY AND OBSTETRICS CONSULTATION,15000
DRG1776,ARTEETHER 150MG/2ML INJECTION,1500
DRG1198,ARTESUNATE 120MG INJ.,1800
DRG2191,KETOCONAZOLE CREAM,1000
DIAG1845,ABDOMINOPELVICS,5000
DRG2116,HYDROCHLOROTHIAZIDE 25MG,50
CONS047,PAEDIATRICIAN CONSULTATION,15000
DRG1711,METFORMIN 500MG,70
CONS039,OPTHALMOLOGIST CONSULTION,15000
DRG1482,CEFUROXIME 125MG SUSPENSION,1500
DRG2056,ZINC 50MG,20
Pro0001,PELVIC SCAN,7000
FEED01,PRIVATE ROOM FEEDING PER DAY,7000
DRG1256,AMOXCILLIN CLAVULANIC 228MG/5ML SUSPENSION,2000
DIAG1846,SONO ABDOMINOPELVICS,7000
DRG1930,FERROUS SULPHATE 200MG TAB,20
MIN0001,WOUND DRESSING (MINOR),1500
DRG1725,DICLOFENAC SODIUM GEL,1000
DIAG1682,HIV 1 AND 2 SCREENING (SERUM),2000
DRG1063,METHYLDOPA 250MG,80
CONS003,CARDIOLOGIST CONSULTATION,15000
DRG1284,TRIPLE ACTION CREAM,1000
PCD280,ANTENATAL CARE PACKAGE- ROUTINE INV AND 8 VISITS,50000
DRG1009,DICLOFENAC 100MG TAB,60
DRG1597,ATORVASTATIN 20MG,106
DRG2042,METFORMIN 1000MG,104
DRG1201,ARTESUNATE SYRUP,1700
DRG3182,VITAMIN B COMPLEX,2.6
DRG1391,BROMAZEPAM 3MG,70
DIAG1843,SONO ABDOMEN SCAN,7000
DIAG421,ESR (AUTOMATED) - [BLOOD],2000
DRG2480,NEUROGESIC CREAM,1000
DRG2365,METOCHLOPRAMIDE 5MG INJ,200
DIAG1970,XRAY CHEST AP/LAT,5000
DRG4149,CEFTRIAXONE 500MG INJ,1500
DRG1197,ARTESUNATE/MEFLOQUINE 200/250MG,300
DRG2939,TIZANIDINE 2MG,80
DRG4148,CEFTRIAXONE 250MG INJ,1500
DRG1730,FLUCONAZOLE 50MG,180
CONS043,ORTHOPAEDIC CONSULTATION,15000
DRG1693,LOZENGES,70
DRG1673,GLIBENCLAMIDE 5MG,16.9
MAJ0002,WOUND DRESSING (MAJOR),4000
DRG1246,ATORVASTATIN 10MG,105
DRG1195,ARTEMISININ/PIPERAQUINE 62.5MGMG/375MG,1000
DIAG236,CREATININE - [SERUM],2500
DIAG259,HBA1C- GLYCATED HAEMOGLOBIN - [BLOOD],8000
DRG1098,AMITRIPTYLINE 25MG,50
DRG2859,RINGER'S LACTATE,1000
DRG2508,NITROFURANTOIN 100MG TAB,80
DRG2254,LISINOPRIL 5MG TAB,70
DRG1474,CEFIXIME 100MG SUSPENSION,2000
DIAG278,LIVER FUNCTION TESTS,8000
DRG2914,CO-TRIMOXAZOLE 960MG TAB,200
DRG3302,AZITHROMYCIN 200MG/5ML SYRUP,1200
DIAG246,"ELECTROLYTES = SODIUM, POTASSIUM, CHLORIDE [SERUM]",5000
DIAG722,HELICOBACTER PYLORI -[STOOL],6000
PCD798,NEBULISATION,7000
CONS024,GYNAECOLOGY AND OBSTETRICS FOLLOW UP,7418.93
DRG1182,ARTIFICIAL TEARS,2000
CONS027,INTERNAL MEDICINE PHYSICIAN CONSULTATION,15000
DRG1546,CIPROFLOXACIN EYE DROPS,1000
DRG1133,AMOXICILLIN CLAVULANIC ACID 457MG SUSPENSION,2000
DRG1837,ZINC 10MG TAB,20
