procedure_code,procedure_name,frequency,price_level_1,price_level_2,price_level_3,price_level_4
DRG2641,PARACETAMOL 500MG,51354,20.00,30.00,40.00,50.00
DRG1081,ARTHEMETER LUMEFRANTINE 80/480,35561,200.00,250.00,300.00,400.00
DRG4208,COUGH SYRUP,17596,800.00,"1,200.00","1,700.00","2,200.00"
DRG2278,LORATIDINE 10MG TAB,16933,30.00,50.00,70.00,100.00
DRG2813,AMOXICILLIN 500MG,12613,60.00,80.00,100.00,150.00
DRG2216,ARTHEMETER 80MG INJECTION,12594,500.00,800.00,"1,000.00","1,200.00"
DRG1084,ARTHEMETER LUMEFRANTINE 20/120,11497,50.00,66.50,95.10,145.50
DRG0358,CIPROFLOXACIN 500MG,10190,150.00,200.00,300.00,450.00
DRG1106,AMLODIPINE 10MG,8982,80.00,120.00,150.00,200.00
DRG2643,PARACETAMOL 250MG SYRUP,8084,500.00,"1,000.00","1,500.00","2,000.00"
DRG1721,DICLOFENAC SODIUM 75MG INJ,7839,500.00,700.00,"1,000.00","1,200.00"
DRG2642,PARACETAMOL INJ 150MG/ML,7630,150.00,250.00,300.00,500.00
DRG2357,OMEPRAZOLE 20MG TAB,7243,70.00,100.00,120.00,150.00
DRG4670,PARACETAMOL 300MG INJ,6459,250.00,300.00,400.00,600.00
DRG2370,METRONIDAZOLE 400MG TAB,6193,40.00,60.00,80.00,"1,000.00"
DRG1163,ANTACID SUSPENSION,5318,800.00,"1,200.00","1,500.00","2,000.00"
DRG2132,IBUPROFEN 400MG,5503,40.00,60.00,80.00,100.00
DRG1477,CEFTRIAZONE INJ 1G,5020,780.00,"2,500.00","3,000.00","5,000.00"
DRG3188,VITAMIN C 100MG,4952,15.00,20.00,35.00,50.00
DRG2166,AMOXICILLIN 125MG/5ML SUSPENSION,4336,"1,200.00","1,500.00","2,500.00","3,000.00"
DRG1129,AMOXICILLIN CLAVULANIC ACID 625MG TAB,4633,200.00,300.00,500.00,700.00
DRG1723,DICLOFENAC SODIUM 50MG,3037,40.00,60.00,80.00,100.00
DRG2693,CHLOPHENAMINE 4MG,2271,20.80,27.66,39.56,60.53
DRG4414,IBUPROFEN 100MG 5ML SUSP,3522,700.00,"1,000.00","1,500.00","2,000.00"
DRG1720,DICLOFENAC GEL,3449,850.00,"1,300.00","2,000.00","2,500.00"
DRG1200,ARTESUNATE 60MG INJ.,3458,"1,250.00","1,500.00","2,000.00","2,500.00"
DRG2886,ERYTHROMYCIN 500MG,2767,150.00,250.00,350.00,450.00
DRG2250,LISINOPRIL 10MG TAB,3129,80.00,120.00,150.00,200.00
